TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,LargestPropertyUseTypeGFA,BuildingType,Neighborhood,PrimaryPropertyType,BuildingAge,SteamUse,Electricity,NaturalGas,ENERGYSTARScore
181.38,1.0,11,412000,57000,LIBRARY,364913.0,NONRESIDENTIAL COS,DOWNTOWN,OTHER,12,1,1,0,
433.86,1.0,6,103911,0,FITNESS CENTER/HEALTH CLUB/GYM,90000.0,NONRESIDENTIAL,DOWNTOWN,OTHER,86,1,1,1,
802.89,1.0,28,416281,85000,HOTEL,348329.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,33,0,1,1,31.0
273.02,1.0,5,57452,0,SOCIAL/MEETING HALL,16442.0,NONRESIDENTIAL,DOWNTOWN,MIXED USE PROPERTY,109,1,1,1,
349.32,1.0,10,104352,0,HOTEL,104352.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,100,1,1,1,39.0
1265.29,1.0,10,540360,0,COURTHOUSE,537150.0,NONRESIDENTIAL,DOWNTOWN,OTHER,100,0,1,1,76.0
1699.45,1.0,19,385274,0,OTHER,385274.0,NONRESIDENTIAL,DOWNTOWN,OTHER,31,0,1,1,
38.53,1.0,2,56228,0,K-12 SCHOOL,58916.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,55,0,1,1,95.0
90.01,1.0,6,88592,30586,HOTEL,58006.0,NONRESIDENTIAL,NORTHEAST,HOTEL,15,0,1,1,84.0
388.04,1.0,7,126593,0,COLLEGE/UNIVERSITY,125000.0,NONRESIDENTIAL,DOWNTOWN,UNIVERSITY,88,0,1,1,
9.13,1.0,2,67224,0,AUTOMOBILE DEALERSHIP,67224.0,NONRESIDENTIAL,DOWNTOWN,OTHER,86,0,1,0,
256.57,1.0,8,158676,30301,HOTEL,112676.0,NONRESIDENTIAL,EAST,HOTEL,25,0,1,1,
328.63,1.0,10,171866,38281,HOTEL,128909.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,15,0,1,1,57.0
128.44,1.0,5,68410,16200,HOTEL,47994.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,38,0,1,1,57.0
270.18,1.0,2,160645,0,K-12 SCHOOL,164229.0,SPS-DISTRICT K-12,NORTH,K-12 SCHOOL,67,0,1,1,75.0
10.43,1.0,2,51582,0,K-12 SCHOOL,55166.0,SPS-DISTRICT K-12,MAGNOLIA / QUEEN ANNE,K-12 SCHOOL,27,0,1,0,
157.77,1.0,3,87262,0,OFFICE,40943.0,NONRESIDENTIAL,LAKE UNION,SMALL- AND MID-SIZED OFFICE,110,0,1,1,
215.0,1.0,4,81871,0,HOTEL,81871.0,NONRESIDENTIAL,NORTHEAST,HOTEL,22,0,1,1,29.0
3.93,1.0,2,110356,0,SELF-STORAGE FACILITY,26225.0,NONRESIDENTIAL,NORTHEAST,SELF-STORAGE FACILITY,61,0,1,1,
311.84,3.0,2,714095,0,NON-REFRIGERATED WAREHOUSE,616000.0,NONRESIDENTIAL,GREATER DUWAMISH,WAREHOUSE,55,0,1,0,
31.47,1.0,2,54986,0,K-12 SCHOOL,54986.0,SPS-DISTRICT K-12,MAGNOLIA / QUEEN ANNE,K-12 SCHOOL,26,0,1,1,97.0
266.05,1.0,2,175565,0,K-12 SCHOOL,182861.0,SPS-DISTRICT K-12,NORTHEAST,K-12 SCHOOL,66,0,1,1,88.0
130.56,1.0,2,94900,0,OFFICE,55586.0,NONRESIDENTIAL,BALLARD,SMALL- AND MID-SIZED OFFICE,55,0,1,1,57.0
83.86,1.0,2,52554,0,OFFICE,51029.0,NONRESIDENTIAL,GREATER DUWAMISH,SMALL- AND MID-SIZED OFFICE,116,0,1,1,83.0
247.85,1.0,3,175015,0,K-12 SCHOOL,175015.0,NONRESIDENTIAL,NORTHWEST,K-12 SCHOOL,62,0,1,1,95.0
45.43,1.0,3,70586,0,SELF-STORAGE FACILITY,38439.0,NONRESIDENTIAL,DOWNTOWN,SELF-STORAGE FACILITY,105,0,1,1,
295.33,1.0,24,332210,205970,HOTEL,348630.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,47,0,1,1,67.0
66.48,1.0,5,168115,0,OFFICE,103362.0,NONRESIDENTIAL,DOWNTOWN,LARGE OFFICE,43,0,1,0,78.0
33.26,1.0,2,57428,0,OTHER - MALL,51747.0,NONRESIDENTIAL,DOWNTOWN,OTHER,96,0,1,1,
35.36,1.0,8,59400,0,OFFICE,34947.0,NONRESIDENTIAL,DOWNTOWN,SMALL- AND MID-SIZED OFFICE,106,0,1,0,14.0
584.31,1.0,2,52549,0,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,23500.0,NONRESIDENTIAL,DOWNTOWN,MIXED USE PROPERTY,90,0,1,1,
59.19,1.0,20,98634,10043,HOTEL,83591.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,86,0,1,1,71.0
2451.58,1.0,34,994212,146694,HOTEL,994212.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,34,1,1,1,63.0
134.38,1.0,7,71150,0,HOTEL,41340.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,31,0,1,1,98.0
227.18,1.0,7,122810,0,HOTEL,88360.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,108,0,1,1,99.0
144.79,1.0,5,113173,42546,HOTEL,70627.0,NONRESIDENTIAL,LAKE UNION,HOTEL,57,0,1,1,86.0
199.95,1.0,7,150453,34735,HOTEL,107547.0,NONRESIDENTIAL,LAKE UNION,HOTEL,16,0,1,1,84.0
162.39,1.0,6,116300,28200,HOTEL,88490.0,NONRESIDENTIAL,LAKE UNION,HOTEL,19,0,1,1,80.0
152.76,1.0,6,155602,36744,HOTEL,155602.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,18,0,1,1,81.0
146.34,1.0,3,56072,0,K-12 SCHOOL,56072.0,NONRESIDENTIAL,EAST,K-12 SCHOOL,105,0,1,1,76.0
171.64,1.0,4,122942,44891,HOTEL,78051.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,17,0,1,1,94.0
87.98,1.0,2,54984,0,OFFICE,54984.0,NONRESIDENTIAL,CENTRAL,SMALL- AND MID-SIZED OFFICE,54,0,1,1,71.0
1727.11,1.0,5,217603,0,SENIOR CARE COMMUNITY,296313.0,NONRESIDENTIAL,SOUTHWEST,SENIOR CARE COMMUNITY,94,0,1,1,54.0
609.1,1.0,2,93397,0,SENIOR CARE COMMUNITY,93397.0,NONRESIDENTIAL,NORTHWEST,SENIOR CARE COMMUNITY,46,0,1,1,1.0
67.06,1.0,6,84103,20732,HOTEL,63371.0,NONRESIDENTIAL,LAKE UNION,HOTEL,8,0,1,1,74.0
4.19,1.0,2,53352,0,K-12 SCHOOL,65568.0,SPS-DISTRICT K-12,SOUTHWEST,K-12 SCHOOL,68,0,1,0,
430.84,1.0,3,179014,0,MEDICAL OFFICE,179014.0,NONRESIDENTIAL,EAST,MEDICAL OFFICE,51,0,1,1,48.0
262.75,1.0,7,76631,0,HOTEL,76631.0,NONRESIDENTIAL,EAST,HOTEL,108,0,1,1,71.0
481.97,1.0,6,99780,9341,MEDICAL OFFICE,40174.0,NONRESIDENTIAL,EAST,MIXED USE PROPERTY,33,1,1,0,
39.06,1.0,2,58320,0,RETAIL STORE,72072.0,NONRESIDENTIAL,LAKE UNION,RETAIL STORE,87,0,1,1,96.0
138.85,1.0,5,316306,0,OFFICE,261826.0,NONRESIDENTIAL,LAKE UNION,LARGE OFFICE,6,0,1,1,96.0
526.85,1.0,7,282863,44766,HOTEL,235788.0,NONRESIDENTIAL,LAKE UNION,HOTEL,26,0,1,1,37.0
607.41,1.0,1,389000,0,OTHER,368000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,54,1,1,1,
344.2,1.0,1,91213,0,OTHER,65000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,54,1,1,0,
804.2,1.0,5,396085,0,OTHER,278500.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,78,1,1,0,
617.52,1.0,12,571329,0,OFFICE,598801.0,NONRESIDENTIAL,LAKE UNION,LARGE OFFICE,6,0,1,1,91.0
101.83,1.0,2,52000,0,OTHER,52000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,54,1,1,0,
6.11,1.0,1,60696,0,OTHER,108000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,88,0,1,0,
490.73,1.0,2,262048,0,OTHER,296000.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,OTHER,88,1,1,0,
29.04,1.0,2,66240,2352,OFFICE,45900.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,SMALL- AND MID-SIZED OFFICE,30,0,1,0,
674.09,1.0,6,920598,303707,OFFICE,729584.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,LARGE OFFICE,6,0,1,1,93.0
48.76,1.0,4,76213,25930,OFFICE,48546.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,SMALL- AND MID-SIZED OFFICE,46,0,1,1,68.0
152.14,1.0,6,96910,36934,HOTEL,59976.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,14,0,1,1,56.0
191.2,2.0,4,50017,0,HOTEL,50017.0,NONRESIDENTIAL,NORTHEAST,HOTEL,54,0,1,1,53.0
11.84,1.0,3,74468,0,K-12 SCHOOL,75364.0,SPS-DISTRICT K-12,DELRIDGE,K-12 SCHOOL,17,0,1,0,
78.85,1.0,3,67743,0,K-12 SCHOOL,67743.0,NONRESIDENTIAL,EAST,K-12 SCHOOL,93,0,1,1,34.0
243.23,1.0,6,194104,0,K-12 SCHOOL,194104.0,NONRESIDENTIAL,EAST,K-12 SCHOOL,108,0,1,1,100.0
34.14,1.0,3,99433,35752,OFFICE,63681.0,NONRESIDENTIAL,SOUTHEAST,SMALL- AND MID-SIZED OFFICE,13,0,1,0,63.0
16.36,1.0,2,58933,0,K-12 SCHOOL,60725.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,25,0,1,0,
238.48,1.0,1,130862,0,K-12 SCHOOL,134446.0,SPS-DISTRICT K-12,GREATER DUWAMISH,K-12 SCHOOL,59,0,1,1,61.0
20.48,1.0,3,59955,0,K-12 SCHOOL,59955.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,27,0,1,1,93.0
84.75,1.0,2,93218,0,K-12 SCHOOL,93218.0,SPS-DISTRICT K-12,MAGNOLIA / QUEEN ANNE,K-12 SCHOOL,52,0,1,1,86.0
44.32,1.0,4,56521,0,OTHER,49000.0,NONRESIDENTIAL,NORTHEAST,OTHER,75,0,1,0,
133.58,1.0,2,206934,0,OTHER,119146.0,NONRESIDENTIAL,NORTHEAST,OTHER,87,0,1,1,
127.29,1.0,4,51390,0,HOTEL,51390.0,NONRESIDENTIAL,NORTHWEST,HOTEL,15,0,1,1,89.0
124.92,1.0,2,131013,0,K-12 SCHOOL,131909.0,SPS-DISTRICT K-12,NORTHWEST,K-12 SCHOOL,53,0,1,1,88.0
443.73,1.0,1,245587,0,K-12 SCHOOL,245587.0,SPS-DISTRICT K-12,NORTHWEST,K-12 SCHOOL,57,0,1,1,92.0
89.02,1.0,3,69138,0,HOTEL,70609.0,NONRESIDENTIAL,NORTHWEST,HOTEL,14,0,1,1,78.0
14.67,1.0,3,66588,0,K-12 SCHOOL,66588.0,SPS-DISTRICT K-12,LAKE UNION,K-12 SCHOOL,25,0,1,0,
142.39,1.0,5,190980,0,HOTEL,190980.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,112,0,1,1,98.0
429.12,1.0,6,284100,0,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,189750.0,NONRESIDENTIAL COS,DOWNTOWN,OTHER,18,1,1,1,
1990.5,4.0,5,285333,0,HOSPITAL (GENERAL MEDICAL & SURGICAL),302661.0,NONRESIDENTIAL,BALLARD,HOSPITAL,62,0,1,1,14.0
10.55,1.0,2,55513,0,K-12 SCHOOL,59097.0,SPS-DISTRICT K-12,BALLARD,K-12 SCHOOL,25,0,1,0,93.0
176.75,1.0,4,61156,0,OTHER,42755.0,NONRESIDENTIAL COS,DOWNTOWN,OTHER,10,0,1,1,
46.26,1.0,4,72820,13820,MUSEUM,58000.0,NONRESIDENTIAL,DOWNTOWN,OTHER,106,0,1,1,
228.4,1.0,4,162222,14200,HOTEL,113702.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,20,0,1,1,76.0
170.84,1.0,4,289588,0,K-12 SCHOOL,289588.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,26,0,1,1,90.0
74.33,1.0,3,63330,0,COLLEGE/UNIVERSITY,64820.0,NONRESIDENTIAL,EAST,UNIVERSITY,101,0,1,1,
866.23,27.0,2,441071,0,COLLEGE/UNIVERSITY,483000.0,CAMPUS,DELRIDGE,UNIVERSITY,46,0,1,1,
222.02,1.0,2,96300,0,OFFICE,92300.0,NONRESIDENTIAL,NORTHEAST,SMALL- AND MID-SIZED OFFICE,14,0,1,1,
204.08,1.0,1,67356,0,"REPAIR SERVICES (VEHICLE, SHOE, LOCKSMITH, ETC)",68359.0,NONRESIDENTIAL COS,GREATER DUWAMISH,OTHER,66,0,1,1,
359.09,1.0,3,254523,0,K-12 SCHOOL,254523.0,SPS-DISTRICT K-12,CENTRAL,K-12 SCHOOL,8,0,1,1,60.0
56.82,1.0,3,78804,0,K-12 SCHOOL,78804.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,15,0,1,1,92.0
41.74,1.0,3,66994,0,K-12 SCHOOL,66994.0,SPS-DISTRICT K-12,CENTRAL,K-12 SCHOOL,14,0,1,1,79.0
94.64,1.0,3,98357,0,K-12 SCHOOL,98357.0,SPS-DISTRICT K-12,GREATER DUWAMISH,K-12 SCHOOL,16,0,1,1,88.0
61.21,1.0,1,54765,0,OFFICE,25765.0,NONRESIDENTIAL,GREATER DUWAMISH,SMALL- AND MID-SIZED OFFICE,58,0,1,1,
100.46,1.0,5,89821,0,OTHER - LODGING/RESIDENTIAL,46483.0,NONRESIDENTIAL,GREATER DUWAMISH,OTHER,7,0,1,1,
104.26,1.0,2,52611,0,COLLEGE/UNIVERSITY,52611.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,UNIVERSITY,36,0,1,1,
129.39,1.0,4,139600,37500,RESIDENCE HALL/DORMITORY,135520.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,RESIDENCE HALL,15,0,1,1,89.0
222.78,1.0,2,236758,0,K-12 SCHOOL,238550.0,SPS-DISTRICT K-12,NORTH,K-12 SCHOOL,5,0,1,1,96.0
422.39,3.0,6,250981,0,OTHER,137565.0,NONRESIDENTIAL,CENTRAL,OTHER,45,1,1,1,
54.07,1.0,3,62526,0,K-12 SCHOOL,62526.0,SPS-DISTRICT K-12,NORTHWEST,K-12 SCHOOL,14,0,1,1,96.0
2055.82,1.0,11,299070,68432,OTHER,250000.0,NONRESIDENTIAL,DOWNTOWN,OTHER,12,0,1,1,
49.58,1.0,3,64015,0,OFFICE,30000.0,NONRESIDENTIAL,GREATER DUWAMISH,SMALL- AND MID-SIZED OFFICE,9,0,1,1,21.0
723.47,1.0,1,530039,0,RETAIL STORE,505103.0,NONRESIDENTIAL,NORTH,RETAIL STORE,65,0,1,1,98.0
231.53,1.0,3,54224,0,OTHER/SPECIALTY HOSPITAL,47012.0,NONRESIDENTIAL,NORTH,OTHER,52,0,1,1,
66.3,1.0,4,124342,0,RETAIL STORE,122000.0,NONRESIDENTIAL,NORTH,RETAIL STORE,51,0,1,1,76.0
8145.52,6.0,10,879000,0,HOSPITAL (GENERAL MEDICAL & SURGICAL),879000.0,NONRESIDENTIAL,NORTHEAST,HOSPITAL,63,0,1,1,10.0
83.7,1.0,3,55442,0,FINANCIAL OFFICE,28636.0,NONRESIDENTIAL,NORTHWEST,OTHER,20,0,1,1,72.0
123.71,1.0,2,242795,0,K-12 SCHOOL,242795.0,SPS-DISTRICT K-12,BALLARD,K-12 SCHOOL,17,0,1,1,80.0
51.11,1.0,5,84870,0,SELF-STORAGE FACILITY,85521.0,NONRESIDENTIAL,EAST,SELF-STORAGE FACILITY,106,0,1,1,
362.82,11.0,2,694072,111625,COLLEGE/UNIVERSITY,667335.0,CAMPUS,NORTHWEST,UNIVERSITY,46,0,1,1,
242.36,1.0,2,173185,0,K-12 SCHOOL,173185.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,64,0,1,1,79.0
206.01,1.0,1,145341,0,K-12 SCHOOL,139069.0,SPS-DISTRICT K-12,DELRIDGE,K-12 SCHOOL,53,0,1,1,75.0
69.44,1.0,4,114297,0,NON-REFRIGERATED WAREHOUSE,114297.0,NONRESIDENTIAL,GREATER DUWAMISH,WAREHOUSE,112,0,1,1,61.0
328.97,1.0,2,184125,0,K-12 SCHOOL,184125.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,56,0,1,1,86.0
229.38,1.0,1,160270,0,K-12 SCHOOL,160270.0,SPS-DISTRICT K-12,BALLARD,K-12 SCHOOL,57,0,0,1,
297.43,1.0,1,234144,0,NON-REFRIGERATED WAREHOUSE,234144.0,NONRESIDENTIAL,GREATER DUWAMISH,WAREHOUSE,79,0,1,1,87.0
35.78,1.0,1,64984,0,RETAIL STORE,65425.0,NONRESIDENTIAL,DELRIDGE,RETAIL STORE,50,0,1,1,72.0
369.14,1.0,1,67745,0,RETAIL STORE,67782.0,NONRESIDENTIAL,DELRIDGE,RETAIL STORE,51,0,1,1,37.0
272.85,1.0,2,367884,0,K-12 SCHOOL,367884.0,SPS-DISTRICT K-12,DELRIDGE,K-12 SCHOOL,6,0,1,1,97.0
73.47,1.0,1,46797,0,K-12 SCHOOL,46797.0,SPS-DISTRICT K-12,DELRIDGE,K-12 SCHOOL,58,0,1,1,86.0
170.9,1.0,3,136188,0,K-12 SCHOOL,136188.0,SPS-DISTRICT K-12,CENTRAL,K-12 SCHOOL,53,0,0,1,
59.34,1.0,3,56000,0,OTHER,56000.0,NONRESIDENTIAL,BALLARD,OTHER,43,0,1,1,
46.36,1.0,2,67371,0,K-12 SCHOOL,67371.0,SPS-DISTRICT K-12,SOUTHEAST,K-12 SCHOOL,12,0,1,1,92.0
48.99,1.0,2,52088,0,SELF-STORAGE FACILITY,52088.0,NONRESIDENTIAL,SOUTHWEST,SELF-STORAGE FACILITY,47,0,1,1,
80.08,1.0,3,127776,0,K-12 SCHOOL,127776.0,SPS-DISTRICT K-12,LAKE UNION,K-12 SCHOOL,6,0,1,1,75.0
309.6,1.0,5,123920,30000,HOTEL,123920.0,NONRESIDENTIAL,LAKE UNION,HOTEL,18,0,1,1,79.0
225.69,1.0,1,50000,0,MUSEUM,43000.0,NONRESIDENTIAL COS,LAKE UNION,OTHER,116,0,1,1,
3.0,1.0,2,50292,0,NON-REFRIGERATED WAREHOUSE,42345.0,NONRESIDENTIAL COS,MAGNOLIA / QUEEN ANNE,WAREHOUSE,90,0,1,0,
338.16,1.0,7,207656,54341,HOTEL,141591.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,HOTEL,18,0,1,1,76.0
49.12,1.0,2,67235,0,K-12 SCHOOL,67235.0,SPS-DISTRICT K-12,BALLARD,K-12 SCHOOL,17,0,1,1,89.0
175.77,1.0,2,91130,0,OFFICE,57968.0,NONRESIDENTIAL COS,NORTHWEST,SMALL- AND MID-SIZED OFFICE,59,0,1,1,
21.29,1.0,3,58118,0,K-12 SCHOOL,59014.0,SPS-DISTRICT K-12,SOUTHWEST,K-12 SCHOOL,25,0,1,1,97.0
208.26,1.0,4,64893,0,HOTEL,64893.0,NONRESIDENTIAL,NORTHWEST,HOTEL,48,0,1,1,70.0
168.88,1.0,1,70762,0,K-12 SCHOOL,70762.0,SPS-DISTRICT K-12,GREATER DUWAMISH,K-12 SCHOOL,91,0,1,1,87.0
28.27,1.0,3,44558,0,OFFICE,34416.0,NONRESIDENTIAL,DOWNTOWN,SMALL- AND MID-SIZED OFFICE,116,0,1,1,78.0
892.63,1.0,6,1585960,327680,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,1585960.0,NONRESIDENTIAL,GREATER DUWAMISH,OTHER,17,0,1,1,
96.43,1.0,2,179161,0,DISTRIBUTION CENTER,117476.0,NONRESIDENTIAL COS,GREATER DUWAMISH,DISTRIBUTION CENTER,92,0,1,1,
27.39,1.0,2,58640,0,NON-REFRIGERATED WAREHOUSE,40831.0,NONRESIDENTIAL COS,GREATER DUWAMISH,WAREHOUSE,51,0,1,0,
1246.55,1.0,3,1172127,0,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,1172127.0,NONRESIDENTIAL,GREATER DUWAMISH,OTHER,17,0,1,1,
388.37,1.0,9,168449,14567,HOTEL,135006.0,NONRESIDENTIAL,GREATER DUWAMISH,HOTEL,11,0,1,1,64.0
16.81,1.0,4,79600,0,NON-REFRIGERATED WAREHOUSE,79600.0,NONRESIDENTIAL,GREATER DUWAMISH,WAREHOUSE,100,0,1,0,34.0
270.97,1.0,4,241066,0,K-12 SCHOOL,241066.0,SPS-DISTRICT K-12,LAKE UNION,K-12 SCHOOL,19,0,1,1,79.0
748.55,14.0,2,334368,31874,OFFICE,240984.0,CAMPUS,GREATER DUWAMISH,LARGE OFFICE,36,0,1,1,
162.41,1.0,6,419848,335109,PARKING,335109.0,NONRESIDENTIAL,NORTH,OTHER,8,0,1,1,
92.91,1.0,4,110785,0,MULTIFAMILY HOUSING,58563.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,MIXED USE PROPERTY,14,0,1,1,
1638.46,1.0,0,934292,0,HOTEL,495536.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,17,0,1,1,
4906.33,6.0,5,597519,0,HOSPITAL (GENERAL MEDICAL & SURGICAL),601615.0,NONRESIDENTIAL,CENTRAL,HOSPITAL,26,0,1,1,34.0
36.24,1.0,1,71714,0,K-12 SCHOOL,71714.0,SPS-DISTRICT K-12,DELRIDGE,K-12 SCHOOL,17,0,1,1,87.0
9.63,1.0,3,75397,8161,NON-REFRIGERATED WAREHOUSE,67236.0,NONRESIDENTIAL,LAKE UNION,WAREHOUSE,25,0,1,1,91.0
10734.57,9.0,8,1158691,0,HOSPITAL (GENERAL MEDICAL & SURGICAL),1350182.0,NONRESIDENTIAL,EAST,HOSPITAL,16,1,1,1,29.0
193.94,1.0,5,102796,12611,SENIOR CARE COMMUNITY,55259.0,NONRESIDENTIAL,DOWNTOWN,SENIOR CARE COMMUNITY,17,0,1,1,
207.79,1.0,2,208981,0,K-12 SCHOOL,208981.0,SPS-DISTRICT K-12,SOUTHWEST,K-12 SCHOOL,14,0,1,1,80.0
72.88,1.0,2,55653,0,K-12 SCHOOL,55500.0,NONRESIDENTIAL,NORTHEAST,K-12 SCHOOL,88,0,1,1,98.0
469.57,1.0,16,106860,0,HOTEL,106860.0,NONRESIDENTIAL,NORTHEAST,HOTEL,85,0,1,1,49.0
49.09,1.0,5,50759,0,OFFICE,47079.0,NONRESIDENTIAL,NORTH,SMALL- AND MID-SIZED OFFICE,44,0,1,1,62.0
84.57,1.0,2,56772,0,WORSHIP FACILITY,56772.0,NONRESIDENTIAL,NORTHEAST,WORSHIP FACILITY,64,0,1,1,46.0
149.93,1.0,3,103000,0,WORSHIP FACILITY,103000.0,NONRESIDENTIAL,NORTHEAST,WORSHIP FACILITY,64,0,1,1,42.0
225.19,1.0,3,269297,0,K-12 SCHOOL,269297.0,SPS-DISTRICT K-12,NORTHEAST,K-12 SCHOOL,10,0,1,1,80.0
71.86,1.0,3,75174,0,K-12 SCHOOL,75174.0,SPS-DISTRICT K-12,NORTHEAST,K-12 SCHOOL,15,0,1,1,77.0
43.98,1.0,3,75214,0,K-12 SCHOOL,75214.0,SPS-DISTRICT K-12,MAGNOLIA / QUEEN ANNE,K-12 SCHOOL,13,0,1,1,88.0
69.42,1.0,3,134918,0,K-12 SCHOOL,134918.0,SPS-DISTRICT K-12,SOUTHWEST,K-12 SCHOOL,11,0,1,1,91.0
16.0,1.0,2,64414,0,K-12 SCHOOL,65310.0,SPS-DISTRICT K-12,CENTRAL,K-12 SCHOOL,25,0,1,0,67.0
201.05,1.0,3,92437,0,K-12 SCHOOL,92437.0,SPS-DISTRICT K-12,NORTHWEST,K-12 SCHOOL,89,0,1,1,78.0
57.21,1.0,7,128766,0,OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY,109754.0,NONRESIDENTIAL,DOWNTOWN,OTHER,102,0,1,1,
254.87,1.0,9,107572,0,RESIDENCE HALL/DORMITORY,63934.0,NONRESIDENTIAL,DOWNTOWN,RESIDENCE HALL,103,1,1,0,76.0
433.6,1.0,15,230880,0,OTHER,203000.0,NONRESIDENTIAL,DOWNTOWN,OTHER,61,0,1,0,
226.06,1.0,3,204961,0,K-12 SCHOOL,204961.0,SPS-DISTRICT K-12,GREATER DUWAMISH,K-12 SCHOOL,9,0,1,1,94.0
101.41,1.0,1,76086,0,OTHER,77810.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,OTHER,43,0,1,1,
661.04,1.0,5,190000,39000,MEDICAL OFFICE,146741.0,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,MEDICAL OFFICE,89,0,1,1,1.0
1060.13,1.0,4,122309,0,HOTEL,122309.0,NONRESIDENTIAL,DOWNTOWN,HOTEL,55,0,1,1,8.0
